사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2023010100100006,2023년 1월 1일 00시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,남,29세,경상
2023010100100020,2023년 1월 1일 01시,일요일,경기도 수원시 영통구 매탄동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,기타 - 기타,이륜,남,27세,상해없음,자전거,남,14세,경상
2023010100100034,2023년 1월 1일 02시,일요일,경기도 수원시 장안구 연무동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,보행자,여,51세,경상
2023010100100115,2023년 1월 1일 10시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,이륜,남,42세,경상
2023010100100129,2023년 1월 1일 11시,일요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,자전거,남,39세,경상
2023010100100131,2023년 1월 1일 11시,일요일,경기도 수원시 권선구 금곡동,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,개인형이동수단(PM),남,49세,경상
2023010100100164,2023년 1월 1일 13시,일요일,경기도 수원시 팔달구 신풍동,경상사고,0,0,3,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로부근,승합,남,32세,상해없음,승용,여,27세,경상
2023010100100184,2023년 1월 1일 14시,일요일,경기도 수원시 권선구 고색동,경상사고,0,0,4,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,승용,여,29세,경상
2023010100100203,2023년 1월 1일 15시,일요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,이륜,남,22세,중상
2023010100100205,2023년 1월 1일 15시,일요일,경기도 수원시 권선구 고색동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,35세,상해없음,보행자,남,68세,경상
