,주야간,구,노면상태,기상상태,주야간_risk,구_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk
0,주간,권선구,건조,맑음,2.0,4.0,5.0,5.0,16.0,24.36355350275768
1,주간,권선구,건조,비,2.0,4.0,5.0,4.0,15.0,22.760530813602152
2,주간,팔달구,건조,맑음,2.0,3.0,5.0,5.0,15.0,22.88682220813488
3,주간,권선구,젖음/습기,맑음,2.0,4.0,4.0,5.0,15.0,22.760530813602152
4,야간,권선구,건조,맑음,1.0,4.0,5.0,5.0,15.0,23.150352786402067
5,주간,권선구,서리/결빙,맑음,2.0,4.0,3.0,5.0,14.0,21.157508124446622
6,야간,권선구,젖음/습기,맑음,1.0,4.0,4.0,5.0,14.0,21.54733009724654
7,주간,권선구,건조,흐림,2.0,4.0,5.0,3.0,14.0,21.157508124446625
8,주간,팔달구,건조,비,2.0,3.0,5.0,4.0,14.0,21.283799518979357
9,주간,팔달구,젖음/습기,맑음,2.0,3.0,4.0,5.0,14.0,21.283799518979354
10,주간,권선구,젖음/습기,비,2.0,4.0,4.0,4.0,14.0,21.157508124446625
11,야간,권선구,건조,비,1.0,4.0,5.0,4.0,14.0,21.547330097246544
12,야간,팔달구,건조,맑음,1.0,3.0,5.0,5.0,14.0,21.673621491779272
13,주간,장안구,건조,맑음,2.0,2.0,5.0,5.0,14.0,21.410090913512086
14,야간,권선구,젖음/습기,비,1.0,4.0,4.0,4.0,13.0,19.944307408091014
15,야간,권선구,서리/결빙,맑음,1.0,4.0,3.0,5.0,13.0,19.944307408091014
16,야간,장안구,건조,맑음,1.0,2.0,5.0,5.0,13.0,20.196890197156478
17,주간,장안구,건조,비,2.0,2.0,5.0,4.0,13.0,19.80706822435656
18,주간,권선구,건조,눈,2.0,4.0,5.0,2.0,13.0,19.5544854352911
19,주간,영통구,건조,맑음,2.0,1.0,5.0,5.0,13.0,19.93335961888929
20,주간,팔달구,젖음/습기,비,2.0,3.0,4.0,4.0,13.0,19.680776829823827
21,주간,팔달구,서리/결빙,맑음,2.0,3.0,3.0,5.0,13.0,19.680776829823827
22,야간,팔달구,건조,비,1.0,3.0,5.0,4.0,13.0,20.070598802623746
23,주간,팔달구,건조,흐림,2.0,3.0,5.0,3.0,13.0,19.680776829823827
24,야간,팔달구,젖음/습기,맑음,1.0,3.0,4.0,5.0,13.0,20.070598802623746
25,주간,장안구,젖음/습기,맑음,2.0,2.0,4.0,5.0,13.0,19.80706822435656
26,야간,권선구,건조,흐림,1.0,4.0,5.0,3.0,13.0,19.944307408091014
27,주간,권선구,서리/결빙,비,2.0,4.0,3.0,4.0,13.0,19.5544854352911
28,주간,권선구,기타,맑음,2.0,4.0,2.0,5.0,13.0,19.5544854352911
29,주간,권선구,젖음/습기,흐림,2.0,4.0,4.0,3.0,13.0,19.5544854352911
30,야간,장안구,젖음/습기,맑음,1.0,2.0,4.0,5.0,12.0,18.593867508000947
31,주간,권선구,적설,맑음,2.0,4.0,1.0,5.0,12.0,17.95146274613557
32,야간,팔달구,건조,흐림,1.0,3.0,5.0,3.0,12.0,18.46757611346822
33,주간,팔달구,서리/결빙,비,2.0,3.0,3.0,4.0,12.0,18.0777541406683
34,주간,권선구,기타,비,2.0,4.0,2.0,4.0,12.0,17.95146274613557
35,주간,팔달구,젖음/습기,흐림,2.0,3.0,4.0,3.0,12.0,18.0777541406683
36,야간,권선구,건조,눈,1.0,4.0,5.0,2.0,12.0,18.341284718935487
37,주간,팔달구,기타,맑음,2.0,3.0,2.0,5.0,12.0,18.0777541406683
38,주간,영통구,건조,비,2.0,1.0,5.0,4.0,12.0,18.33033692973376
39,야간,장안구,건조,비,1.0,2.0,5.0,4.0,12.0,18.593867508000947
40,주간,팔달구,건조,눈,2.0,3.0,5.0,2.0,12.0,18.0777541406683
41,주간,권선구,건조,기타,2.0,4.0,5.0,1.0,12.0,17.95146274613557
42,주간,영통구,젖음/습기,맑음,2.0,1.0,4.0,5.0,12.0,18.33033692973376
43,야간,권선구,기타,맑음,1.0,4.0,2.0,5.0,12.0,18.341284718935487
44,주간,권선구,젖음/습기,눈,2.0,4.0,4.0,2.0,12.0,17.95146274613557
45,야간,권선구,젖음/습기,흐림,1.0,4.0,4.0,3.0,12.0,18.341284718935487
46,야간,권선구,서리/결빙,비,1.0,4.0,3.0,4.0,12.0,18.341284718935487
